path,size,is_empty,has_path,path_count,path_tokens,image_count,base64_image_count
"/Users/xiaoxiaobo/random2000/EADcCupADbo_蓝色医学工作报告演示文稿/幻灯片10.SVG",1969118,0,1,6,1631,1,1
"/Users/xiaoxiaobo/random2000/EADcCupADbo_蓝色医学工作报告演示文稿/幻灯片4.SVG",6124,0,1,7,293,0,0
"/Users/xiaoxiaobo/random2000/EADcCupADbo_蓝色医学工作报告演示文稿/幻灯片5.SVG",378890,0,1,10,574,1,1
"/Users/xiaoxiaobo/random2000/EADcCupADbo_蓝色医学工作报告演示文稿/幻灯片7.SVG",156758,0,1,2,112,2,2
"/Users/xiaoxiaobo/random2000/EADcCupADbo_蓝色医学工作报告演示文稿/幻灯片6.SVG",7022,0,1,8,420,0,0
"/Users/xiaoxiaobo/random2000/EAE5t7fXGDU_橙蓝色几何校园交流中文演示文稿/幻灯片2.SVG",2893963,0,0,0,0,7,7
"/Users/xiaoxiaobo/random2000/EAE5t7fXGDU_橙蓝色几何校园交流中文演示文稿/幻灯片3.SVG",7593460,0,1,1,14,2,2
"/Users/xiaoxiaobo/random2000/EAE5t7fXGDU_橙蓝色几何校园交流中文演示文稿/幻灯片1.SVG",3647723,0,1,5,1426,4,4
"/Users/xiaoxiaobo/random2000/EAE5t7fXGDU_橙蓝色几何校园交流中文演示文稿/幻灯片4.SVG",1578953,0,1,2,217,5,5
"/Users/xiaoxiaobo/random2000/EAE5t7fXGDU_橙蓝色几何校园交流中文演示文稿/幻灯片5.SVG",2546605,0,1,1,25,4,4
"/Users/xiaoxiaobo/random2000/EADcCH43LTs_Cream and Teal Flower School Presentation英文演示文稿/幻灯片8.SVG",12422,0,1,56,1076,0,0
"/Users/xiaoxiaobo/random2000/EADcCH43LTs_Cream and Teal Flower School Presentation英文演示文稿/幻灯片9.SVG",291157,0,1,21,417,3,3
"/Users/xiaoxiaobo/random2000/EADcCH43LTs_Cream and Teal Flower School Presentation英文演示文稿/幻灯片2.SVG",60049,0,1,233,5650,0,0
"/Users/xiaoxiaobo/random2000/EADcCH43LTs_Cream and Teal Flower School Presentation英文演示文稿/幻灯片3.SVG",115068,0,1,448,10970,0,0
"/Users/xiaoxiaobo/random2000/EADcCH43LTs_Cream and Teal Flower School Presentation英文演示文稿/幻灯片1.SVG",64180,0,1,254,6012,0,0
"/Users/xiaoxiaobo/random2000/EADcCH43LTs_Cream and Teal Flower School Presentation英文演示文稿/幻灯片10.SVG",206288,0,0,0,0,1,1
"/Users/xiaoxiaobo/random2000/EADcCH43LTs_Cream and Teal Flower School Presentation英文演示文稿/幻灯片4.SVG",202188,0,0,0,0,1,1
"/Users/xiaoxiaobo/random2000/EADcCH43LTs_Cream and Teal Flower School Presentation英文演示文稿/幻灯片5.SVG",190652,0,1,18,330,1,1
"/Users/xiaoxiaobo/random2000/EADcCH43LTs_Cream and Teal Flower School Presentation英文演示文稿/幻灯片7.SVG",9870,0,1,48,954,0,0
"/Users/xiaoxiaobo/random2000/EADcCH43LTs_Cream and Teal Flower School Presentation英文演示文稿/幻灯片6.SVG",228000,0,1,39,692,1,1
"/Users/xiaoxiaobo/random2000/EAD29mIeAlU_金绿色红酒酒庄西式食品宣传中文演示文稿/幻灯片8.SVG",1377618,0,0,0,0,1,1
"/Users/xiaoxiaobo/random2000/EAD29mIeAlU_金绿色红酒酒庄西式食品宣传中文演示文稿/幻灯片9.SVG",5554,0,0,0,0,0,0
"/Users/xiaoxiaobo/random2000/EAD29mIeAlU_金绿色红酒酒庄西式食品宣传中文演示文稿/幻灯片12.SVG",794811,0,0,0,0,4,4
"/Users/xiaoxiaobo/random2000/EAD29mIeAlU_金绿色红酒酒庄西式食品宣传中文演示文稿/幻灯片2.SVG",413827,0,1,2,22,1,1
"/Users/xiaoxiaobo/random2000/EAD29mIeAlU_金绿色红酒酒庄西式食品宣传中文演示文稿/幻灯片3.SVG",566917,0,0,0,0,1,1
"/Users/xiaoxiaobo/random2000/EAD29mIeAlU_金绿色红酒酒庄西式食品宣传中文演示文稿/幻灯片13.SVG",1046968,0,0,0,0,1,1
"/Users/xiaoxiaobo/random2000/EAD29mIeAlU_金绿色红酒酒庄西式食品宣传中文演示文稿/幻灯片11.SVG",333182,0,1,735,33624,1,1
"/Users/xiaoxiaobo/random2000/EAD29mIeAlU_金绿色红酒酒庄西式食品宣传中文演示文稿/幻灯片1.SVG",685220,0,1,6,1631,1,1
"/Users/xiaoxiaobo/random2000/EAD29mIeAlU_金绿色红酒酒庄西式食品宣传中文演示文稿/幻灯片10.SVG",449475,0,1,1,12,1,1
"/Users/xiaoxiaobo/random2000/EAD29mIeAlU_金绿色红酒酒庄西式食品宣传中文演示文稿/幻灯片4.SVG",3268,0,0,0,0,0,0
"/Users/xiaoxiaobo/random2000/EAD29mIeAlU_金绿色红酒酒庄西式食品宣传中文演示文稿/幻灯片5.SVG",1785312,0,1,1,12,1,1
"/Users/xiaoxiaobo/random2000/EAD29mIeAlU_金绿色红酒酒庄西式食品宣传中文演示文稿/幻灯片7.SVG",1106451,0,0,0,0,1,1
"/Users/xiaoxiaobo/random2000/EAD29mIeAlU_金绿色红酒酒庄西式食品宣传中文演示文稿/幻灯片6.SVG",1143963,0,1,1,52,1,1
"/Users/xiaoxiaobo/random2000/EAE5txulnXA_白黄色社员活动策划创意校园交流中文演示文稿/幻灯片8.SVG",1127254,0,1,10,147356,3,3
"/Users/xiaoxiaobo/random2000/EAE5txulnXA_白黄色社员活动策划创意校园交流中文演示文稿/幻灯片9.SVG",1497126,0,1,7,125302,3,3
"/Users/xiaoxiaobo/random2000/EAE5txulnXA_白黄色社员活动策划创意校园交流中文演示文稿/幻灯片2.SVG",2489555,0,1,21,346539,3,3
"/Users/xiaoxiaobo/random2000/EAE5txulnXA_白黄色社员活动策划创意校园交流中文演示文稿/幻灯片3.SVG",2598865,0,1,20,357216,2,2
"/Users/xiaoxiaobo/random2000/EAE5txulnXA_白黄色社员活动策划创意校园交流中文演示文稿/幻灯片1.SVG",1373863,0,1,18,168971,3,3
"/Users/xiaoxiaobo/random2000/EAE5txulnXA_白黄色社员活动策划创意校园交流中文演示文稿/幻灯片4.SVG",1256084,0,1,18,130818,4,4
"/Users/xiaoxiaobo/random2000/EAE5txulnXA_白黄色社员活动策划创意校园交流中文演示文稿/幻灯片5.SVG",868663,0,1,12,57154,2,2
"/Users/xiaoxiaobo/random2000/EAE5txulnXA_白黄色社员活动策划创意校园交流中文演示文稿/幻灯片7.SVG",747716,0,1,18,71611,3,3
"/Users/xiaoxiaobo/random2000/EAE5txulnXA_白黄色社员活动策划创意校园交流中文演示文稿/幻灯片6.SVG",1001471,0,1,8,105126,2,2
"/Users/xiaoxiaobo/random2000/EAEvHfovrUM_绿白色心理咨询场景扁平插画简洁医疗健康培训中文演示文稿/幻灯片8.SVG",23746,0,1,46,2217,0,0
"/Users/xiaoxiaobo/random2000/EAEvHfovrUM_绿白色心理咨询场景扁平插画简洁医疗健康培训中文演示文稿/幻灯片9.SVG",10613,0,1,13,1157,0,0
"/Users/xiaoxiaobo/random2000/EAEvHfovrUM_绿白色心理咨询场景扁平插画简洁医疗健康培训中文演示文稿/幻灯片12.SVG",13441,0,1,16,1432,0,0
"/Users/xiaoxiaobo/random2000/EAEvHfovrUM_绿白色心理咨询场景扁平插画简洁医疗健康培训中文演示文稿/幻灯片2.SVG",11842,0,1,11,1133,0,0
"/Users/xiaoxiaobo/random2000/EAEvHfovrUM_绿白色心理咨询场景扁平插画简洁医疗健康培训中文演示文稿/幻灯片3.SVG",10611,0,1,13,1157,0,0
"/Users/xiaoxiaobo/random2000/EAEvHfovrUM_绿白色心理咨询场景扁平插画简洁医疗健康培训中文演示文稿/幻灯片13.SVG",10596,0,1,13,1157,0,0
"/Users/xiaoxiaobo/random2000/EAEvHfovrUM_绿白色心理咨询场景扁平插画简洁医疗健康培训中文演示文稿/幻灯片11.SVG",25119,0,1,13,3064,0,0
"/Users/xiaoxiaobo/random2000/EAEvHfovrUM_绿白色心理咨询场景扁平插画简洁医疗健康培训中文演示文稿/幻灯片1.SVG",46809,0,1,14,5964,0,0
"/Users/xiaoxiaobo/random2000/EAEvHfovrUM_绿白色心理咨询场景扁平插画简洁医疗健康培训中文演示文稿/幻灯片10.SVG",77283,0,1,217,7926,0,0
"/Users/xiaoxiaobo/random2000/EAEvHfovrUM_绿白色心理咨询场景扁平插画简洁医疗健康培训中文演示文稿/幻灯片14.SVG",37876,0,1,18,4710,0,0
"/Users/xiaoxiaobo/random2000/EAEvHfovrUM_绿白色心理咨询场景扁平插画简洁医疗健康培训中文演示文稿/幻灯片4.SVG",41834,0,1,95,4498,0,0
"/Users/xiaoxiaobo/random2000/EAEvHfovrUM_绿白色心理咨询场景扁平插画简洁医疗健康培训中文演示文稿/幻灯片5.SVG",29124,0,1,12,3699,0,0
"/Users/xiaoxiaobo/random2000/EAEvHfovrUM_绿白色心理咨询场景扁平插画简洁医疗健康培训中文演示文稿/幻灯片15.SVG",46802,0,1,14,5964,0,0
"/Users/xiaoxiaobo/random2000/EAEvHfovrUM_绿白色心理咨询场景扁平插画简洁医疗健康培训中文演示文稿/幻灯片7.SVG",37186,0,1,15,4486,0,0
"/Users/xiaoxiaobo/random2000/EAEvHfovrUM_绿白色心理咨询场景扁平插画简洁医疗健康培训中文演示文稿/幻灯片6.SVG",10613,0,1,13,1157,0,0
"/Users/xiaoxiaobo/random2000/EADcCDw2QKw_白绿蓝色树叶企业介绍演示文稿/幻灯片8.SVG",312854,0,1,3,30,1,1
"/Users/xiaoxiaobo/random2000/EADcCDw2QKw_白绿蓝色树叶企业介绍演示文稿/幻灯片9.SVG",2917896,0,0,0,0,4,4
"/Users/xiaoxiaobo/random2000/EADcCDw2QKw_白绿蓝色树叶企业介绍演示文稿/幻灯片2.SVG",172025,0,1,6,155,1,1
"/Users/xiaoxiaobo/random2000/EADcCDw2QKw_白绿蓝色树叶企业介绍演示文稿/幻灯片3.SVG",3224878,0,1,1,10,1,1
"/Users/xiaoxiaobo/random2000/EADcCDw2QKw_白绿蓝色树叶企业介绍演示文稿/幻灯片1.SVG",259292,0,1,22,2364,1,1
"/Users/xiaoxiaobo/random2000/EADcCDw2QKw_白绿蓝色树叶企业介绍演示文稿/幻灯片10.SVG",1469612,0,1,16,733,1,1
"/Users/xiaoxiaobo/random2000/EADcCDw2QKw_白绿蓝色树叶企业介绍演示文稿/幻灯片4.SVG",1300266,0,1,3,30,1,1
"/Users/xiaoxiaobo/random2000/EADcCDw2QKw_白绿蓝色树叶企业介绍演示文稿/幻灯片5.SVG",974157,0,1,3,30,1,1
"/Users/xiaoxiaobo/random2000/EADcCDw2QKw_白绿蓝色树叶企业介绍演示文稿/幻灯片7.SVG",823285,0,1,3,30,5,5
"/Users/xiaoxiaobo/random2000/EADcCDw2QKw_白绿蓝色树叶企业介绍演示文稿/幻灯片6.SVG",3224034,0,1,1,10,1,1
"/Users/xiaoxiaobo/random2000/EAD29nq102s_紫红色开放空间设计现代房地产宣传中文演示文稿/幻灯片18.SVG",14324,0,0,0,0,1,1
"/Users/xiaoxiaobo/random2000/EAD29nq102s_紫红色开放空间设计现代房地产宣传中文演示文稿/幻灯片8.SVG",1162462,0,0,0,0,2,2
"/Users/xiaoxiaobo/random2000/EAD29nq102s_紫红色开放空间设计现代房地产宣传中文演示文稿/幻灯片9.SVG",14984,0,1,11,1707,0,0
"/Users/xiaoxiaobo/random2000/EAD29nq102s_紫红色开放空间设计现代房地产宣传中文演示文稿/幻灯片19.SVG",306153,0,1,3,32,3,3
